Organisation,Launch Pad,Launch Center,Launch State,Launch Country,Month,Year
General Dynamics,LC-576B3,Vandenberg AFB,California,USA,Mar,1966
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Mar,1966
RVSN USSR,Site 81/24,Baikonur Cosmodrome,,Kazakhstan,Mar,1966
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Mar,1966
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Mar,1966
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Mar,1966
General Dynamics,LC-14,Cape Canaveral AFS,Florida,USA,Mar,1966
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Mar,1966
NASA,LC-34,Cape Canaveral AFS,Florida,USA,Feb,1966
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Feb,1966
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Feb,1966
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Feb,1966
Arm??e de l'Air,Brigitte,Hammaguir,Algeria,France,Feb,1966
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Feb,1966
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Feb,1966
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Feb,1966
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jan,1966
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Jan,1966
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jan,1966
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Jan,1966
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jan,1966
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Dec,1965
RVSN USSR,Site 41/15,Baikonur Cosmodrome,,Kazakhstan,Dec,1965
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Dec,1965
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Dec,1965
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Dec,1965
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Dec,1965
NASA,LC-19,Cape Canaveral AFS,Florida,USA,Dec,1965
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Dec,1965
NASA,LC-19,Cape Canaveral AFS,Florida,USA,Dec,1965
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Dec,1965
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Nov,1965
Arm??e de l'Air,Brigitte,Hammaguir,Algeria,France,Nov,1965
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Nov,1965
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Nov,1965
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Nov,1965
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Nov,1965
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Nov,1965
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Nov,1965
RVSN USSR,Site 81/24,Baikonur Cosmodrome,,Kazakhstan,Nov,1965
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Oct,1965
General Dynamics,LC-14,Cape Canaveral AFS,Florida,USA,Oct,1965
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Oct,1965
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Oct,1965
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Oct,1965
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Oct,1965
General Dynamics,LC-576B3,Vandenberg AFB,California,USA,Oct,1965
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Oct,1965
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Sep,1965
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Sep,1965
RVSN USSR,Site 41/15,Baikonur Cosmodrome,,Kazakhstan,Sep,1965
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Sep,1965
RVSN USSR,Site 41/15,Baikonur Cosmodrome,,Kazakhstan,Sep,1965
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Aug,1965
NASA,LC-19,Cape Canaveral AFS,Florida,USA,Aug,1965
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Aug,1965
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Aug,1965
